"Date","Price","Open","High","Low","Vol.","Change %"
"06/20/2024","9,425","9,150","9,425","9,100","81.47M","4.14%"
"06/19/2024","9,050","9,250","9,250","9,050","100.05M","-1.63%"
"06/14/2024","9,200","9,200","9,250","9,100","52.99M","0.00%"
"06/13/2024","9,200","9,475","9,475","9,200","84.65M","-0.54%"
"06/12/2024","9,250","9,300","9,325","9,250","49.79M","-0.54%"
"06/11/2024","9,300","9,550","9,550","9,300","68.69M","-2.36%"
"06/10/2024","9,525","9,500","9,525","9,450","45.58M","2.14%"
"06/07/2024","9,325","9,500","9,500","9,325","51.60M","-1.58%"
"06/06/2024","9,475","9,525","9,525","9,450","44.99M","0.26%"
"06/05/2024","9,450","9,500","9,500","9,300","85.71M","1.07%"
"06/04/2024","9,350","9,525","9,525","9,350","75.35M","0.81%"
"06/03/2024","9,275","9,350","9,350","9,225","72.20M","0.27%"
"05/31/2024","9,250","9,100","9,250","9,025","756.43M","2.78%"
"05/30/2024","9,000","9,000","9,250","8,775","207.12M","-1.64%"
"05/29/2024","9,150","9,275","9,325","9,150","117.35M","-1.61%"
"05/28/2024","9,300","9,300","9,400","9,300","73.95M","0.00%"
"05/27/2024","9,300","9,300","9,375","9,275","128.58M","-1.33%"
"05/22/2024","9,425","9,475","9,575","9,325","121.71M","0.53%"
"05/21/2024","9,375","9,450","9,575","9,375","75.71M","-1.06%"
"05/20/2024","9,475","9,700","9,800","9,475","87.89M","-2.82%"
"05/17/2024","9,750","9,600","9,850","9,575","99.85M","1.56%"
"05/16/2024","9,600","9,575","9,675","9,525","61.13M","1.05%"
"05/15/2024","9,500","9,500","9,600","9,425","54.74M","-0.52%"
"05/14/2024","9,550","9,625","9,675","9,525","95.36M","0.26%"
"05/13/2024","9,525","9,200","9,525","9,200","145.47M","1.60%"
"05/08/2024","9,375","9,600","9,700","9,375","112.81M","-3.35%"
"05/07/2024","9,700","9,700","9,750","9,625","66.75M","-1.02%"
"05/06/2024","9,800","9,850","9,875","9,775","53.08M","-0.51%"
"05/03/2024","9,850","9,750","9,850","9,675","84.03M","3.14%"
"05/02/2024","9,550","9,900","9,900","9,500","97.08M","-2.55%"
"04/30/2024","9,800","10,050","10,050","9,800","109.62M","0.00%"
"04/29/2024","9,800","9,525","9,850","9,525","90.06M","1.82%"
"04/26/2024","9,625","9,700","9,825","9,625","100.93M","-1.53%"
"04/25/2024","9,775","10,000","10,000","9,700","104.87M","-1.76%"
"04/24/2024","9,950","9,825","9,950","9,750","132.83M","2.31%"
"04/23/2024","9,725","9,400","9,775","9,375","181.70M","4.01%"
"04/22/2024","9,350","9,400","9,425","9,350","128.91M","-1.32%"
"04/19/2024","9,475","9,350","9,500","9,300","147.78M","0.00%"
"04/18/2024","9,475","9,525","9,575","9,450","127.13M","-0.52%"
"04/17/2024","9,525","9,550","9,675","9,525","95.62M","0.53%"
"04/16/2024","9,475","9,350","9,575","9,250","283.27M","-3.56%"
"04/05/2024","9,825","9,950","9,950","9,825","70.43M","-0.25%"
"04/04/2024","9,850","9,575","9,850","9,575","77.27M","3.41%"
"04/03/2024","9,525","9,750","9,800","9,525","177.42M","-3.79%"
"04/02/2024","9,900","9,925","9,950","9,800","76.76M","0.51%"
"04/01/2024","9,850","10,075","10,100","9,825","79.25M","-2.23%"
"03/28/2024","10,075","10,025","10,100","9,975","79.23M","0.00%"
"03/27/2024","10,075","10,025","10,075","10,000","39.51M","0.25%"
"03/26/2024","10,050","9,950","10,050","9,950","65.74M","-0.25%"
"03/25/2024","10,075","9,925","10,075","9,925","66.97M","-0.25%"
"03/22/2024","10,100","10,000","10,125","9,950","120.53M","-0.25%"
"03/21/2024","10,125","10,175","10,225","10,050","90.28M","0.00%"
"03/20/2024","10,125","10,100","10,150","10,075","66.27M","-0.49%"
"03/19/2024","10,175","10,150","10,250","10,150","55.00M","0.25%"
"03/18/2024","10,150","10,175","10,275","10,150","62.44M","0.00%"
"03/15/2024","10,150","10,200","10,300","10,050","154.18M","-1.69%"
"03/14/2024","10,325","10,050","10,325","10,025","110.68M","3.25%"
"03/13/2024","10,000","10,400","10,400","10,000","141.62M","-1.48%"
"03/08/2024","10,150","10,250","10,300","10,125","100.95M","0.25%"
"03/07/2024","10,125","10,050","10,175","10,000","118.37M","1.76%"
"03/06/2024","9,950","9,900","10,000","9,775","70.24M","1.53%"
"03/05/2024","9,800","9,900","9,900","9,775","61.95M","0.51%"
"03/04/2024","9,750","9,800","9,825","9,750","43.82M","-0.76%"
"03/01/2024","9,825","9,900","9,925","9,800","51.52M","-0.51%"
"02/29/2024","9,875","10,000","10,000","9,850","127.02M","-1.25%"
"02/28/2024","10,000","9,975","10,000","9,900","66.95M","1.27%"
"02/27/2024","9,875","9,750","9,900","9,750","43.74M","0.77%"
"02/26/2024","9,800","9,750","9,875","9,725","53.82M","-0.25%"
"02/23/2024","9,825","9,900","9,925","9,800","55.19M","-0.51%"
"02/22/2024","9,875","9,975","9,975","9,875","66.91M","-1.00%"
"02/21/2024","9,975","9,950","10,000","9,850","75.55M","-0.50%"
"02/20/2024","10,025","9,850","10,025","9,850","64.00M","1.52%"
"02/19/2024","9,875","9,900","9,975","9,825","53.34M","-0.75%"
"02/16/2024","9,950","9,975","10,000","9,875","142.28M","1.02%"
"02/15/2024","9,850","9,950","9,975","9,850","164.75M","1.29%"
"02/13/2024","9,725","9,750","9,800","9,700","66.07M","-0.77%"
"02/12/2024","9,800","9,750","9,800","9,700","99.80M","1.03%"
"02/07/2024","9,700","9,700","9,725","9,650","93.32M","0.78%"
"02/06/2024","9,625","9,750","9,750","9,625","87.65M","0.52%"
"02/05/2024","9,575","9,675","9,675","9,525","57.98M","-1.29%"
"02/02/2024","9,700","9,775","9,800","9,625","99.32M","0.00%"
"02/01/2024","9,700","9,650","9,725","9,575","109.29M","1.57%"
"01/31/2024","9,550","9,700","9,700","9,550","102.58M","-1.04%"
"01/30/2024","9,650","9,500","9,650","9,475","73.14M","1.05%"
"01/29/2024","9,550","9,400","9,550","9,375","73.45M","2.14%"
"01/26/2024","9,350","9,400","9,450","9,300","78.98M","-1.58%"
"01/25/2024","9,500","9,450","9,575","9,450","63.21M","-0.26%"
"01/24/2024","9,525","9,600","9,600","9,475","84.91M","-0.78%"
"01/23/2024","9,600","9,450","9,600","9,450","92.35M","-0.26%"
"01/22/2024","9,625","9,600","9,650","9,525","52.87M","0.00%"
"01/19/2024","9,625","9,775","9,775","9,600","63.18M","-0.52%"
"01/18/2024","9,675","9,675","9,750","9,625","71.05M","-0.77%"
"01/17/2024","9,750","9,750","9,750","9,650","107.71M","0.52%"
"01/16/2024","9,700","9,700","9,750","9,675","44.87M","-0.26%"
"01/15/2024","9,725","9,750","9,750","9,650","88.58M","0.26%"
"01/12/2024","9,700","9,650","9,700","9,600","68.25M","1.31%"
"01/11/2024","9,575","9,625","9,650","9,575","51.58M","0.26%"
"01/10/2024","9,550","9,650","9,650","9,550","52.77M","-0.78%"
"01/09/2024","9,625","9,600","9,625","9,575","59.85M","0.52%"
"01/08/2024","9,575","9,600","9,625","9,475","50.90M","0.00%"
"01/05/2024","9,575","9,500","9,600","9,475","85.29M","1.06%"
"01/04/2024","9,475","9,400","9,475","9,375","77.29M","1.34%"
"01/03/2024","9,350","9,425","9,425","9,325","34.60M","-0.80%"
"01/02/2024","9,425","9,400","9,425","9,350","30.55M","0.27%"
"12/29/2023","9,400","9,425","9,450","9,350","79.90M","0.00%"
"12/28/2023","9,400","9,325","9,425","9,325","70.18M","0.27%"
"12/27/2023","9,375","9,375","9,400","9,325","72.26M","0.54%"
"12/22/2023","9,325","9,275","9,350","9,275","64.45M","0.00%"
"12/21/2023","9,325","9,300","9,325","9,250","88.12M","0.27%"
"12/20/2023","9,300","9,250","9,300","9,225","72.94M","0.54%"
"12/19/2023","9,250","9,125","9,250","9,125","87.54M","0.54%"
"12/18/2023","9,200","9,200","9,225","9,150","111.71M","-0.27%"
"12/15/2023","9,225","9,125","9,225","9,075","275.01M","1.93%"
"12/14/2023","9,050","8,775","9,050","8,750","139.38M","4.32%"
"12/13/2023","8,675","8,700","8,750","8,675","51.56M","-0.29%"
"12/12/2023","8,700","8,700","8,750","8,700","87.59M","-0.57%"
"12/11/2023","8,750","8,675","8,775","8,675","78.64M","0.00%"
"12/08/2023","8,750","8,800","8,850","8,750","43.89M","-0.85%"
"12/07/2023","8,825","8,750","8,825","8,725","91.32M","0.28%"
"12/06/2023","8,800","8,850","8,950","8,800","81.85M","-1.12%"
"12/05/2023","8,900","8,950","8,950","8,825","94.36M","-0.28%"
"12/04/2023","8,925","8,950","9,025","8,925","54.75M","-0.28%"
"12/01/2023","8,950","8,925","8,975","8,900","80.57M","-0.28%"
"11/30/2023","8,975","8,925","8,975","8,900","205.31M","0.84%"
"11/29/2023","8,900","8,900","8,950","8,900","54.72M","0.28%"
"11/28/2023","8,875","8,875","8,950","8,850","69.07M","0.00%"
"11/27/2023","8,875","8,900","8,950","8,875","35.68M","-0.56%"
"11/24/2023","8,925","8,925","8,975","8,900","51.62M","0.00%"
"11/23/2023","8,925","8,850","8,975","8,850","55.54M","0.56%"
"11/22/2023","8,875","8,775","8,875","8,775","40.36M","1.14%"
"11/21/2023","8,775","8,825","8,900","8,775","107.61M","-1.13%"
"11/20/2023","8,875","8,975","9,025","8,875","73.54M","-2.20%"
"11/17/2023","9,075","9,025","9,075","8,975","57.05M","0.00%"
"11/16/2023","9,075","9,050","9,075","8,950","80.28M","0.28%"
"11/15/2023","9,050","8,975","9,050","8,950","84.98M","1.40%"
"11/14/2023","8,925","8,900","8,950","8,875","37.20M","0.56%"
"11/13/2023","8,875","8,875","8,925","8,850","32.72M","0.57%"
"11/10/2023","8,825","8,950","9,000","8,825","50.75M","-1.94%"
"11/09/2023","9,000","8,900","9,050","8,900","46.08M","0.00%"
"11/08/2023","9,000","8,950","9,000","8,900","31.83M","0.28%"
"11/07/2023","8,975","9,000","9,025","8,900","60.65M","-0.83%"
"11/06/2023","9,050","8,975","9,050","8,950","84.99M","1.69%"
"11/03/2023","8,900","8,925","8,950","8,850","60.41M","0.56%"
"11/02/2023","8,850","8,725","8,900","8,725","56.05M","2.91%"
"11/01/2023","8,600","8,750","8,775","8,600","67.03M","-1.71%"
"10/31/2023","8,750","8,800","8,825","8,725","64.91M","-1.13%"
"10/30/2023","8,850","8,700","8,850","8,700","51.96M","1.72%"
"10/27/2023","8,700","8,725","8,800","8,700","52.45M","-0.29%"
"10/26/2023","8,725","8,925","8,950","8,725","63.20M","-1.69%"
"10/25/2023","8,875","8,825","8,925","8,825","54.75M","1.14%"
"10/24/2023","8,775","8,775","8,875","8,775","76.96M","-0.85%"
"10/23/2023","8,850","8,875","8,925","8,850","50.63M","-1.39%"
"10/20/2023","8,975","8,725","9,025","8,725","80.33M","2.57%"
"10/19/2023","8,750","8,825","8,850","8,750","89.51M","-1.13%"
"10/18/2023","8,850","8,925","8,950","8,850","70.86M","-1.12%"
"10/17/2023","8,950","9,050","9,075","8,950","59.61M","-1.65%"
"10/16/2023","9,100","9,125","9,125","9,050","37.60M","0.28%"
"10/13/2023","9,075","9,100","9,125","9,025","62.94M","0.28%"
"10/12/2023","9,050","9,000","9,100","9,000","71.06M","1.40%"
"10/11/2023","8,925","8,925","9,025","8,925","84.31M","0.00%"
"10/10/2023","8,925","9,000","9,000","8,925","107.49M","-1.38%"
"10/09/2023","9,050","9,025","9,125","9,025","43.77M","0.28%"
"10/06/2023","9,025","9,100","9,100","9,025","53.34M","-0.55%"
"10/05/2023","9,075","9,200","9,200","9,075","72.86M","-1.36%"
"10/04/2023","9,200","9,200","9,250","9,125","112.58M","0.00%"
"10/03/2023","9,200","9,075","9,200","9,025","99.11M","1.38%"
"10/02/2023","9,075","8,900","9,100","8,875","93.66M","2.83%"
"09/29/2023","8,825","8,825","8,900","8,825","119.44M","-0.56%"
"09/27/2023","8,875","8,900","9,000","8,875","84.35M","-0.84%"
"09/26/2023","8,950","9,000","9,025","8,950","73.54M","-0.56%"
"09/25/2023","9,000","9,075","9,075","9,000","56.23M","-0.83%"
"09/22/2023","9,075","9,125","9,150","9,075","42.45M","-0.55%"
"09/21/2023","9,125","9,125","9,150","9,075","40.61M","-0.27%"
"09/20/2023","9,150","9,125","9,175","9,075","54.31M","0.83%"
"09/19/2023","9,075","9,000","9,075","8,975","37.02M","0.83%"
"09/18/2023","9,000","9,050","9,075","9,000","34.27M","0.00%"
"09/15/2023","9,000","9,050","9,100","9,000","121.01M","-1.10%"
"09/14/2023","9,100","9,000","9,125","9,000","112.76M","0.28%"
"09/13/2023","9,075","9,050","9,075","9,000","69.49M","-0.27%"
"09/12/2023","9,100","9,100","9,125","9,075","66.48M","-0.27%"
"09/11/2023","9,125","9,075","9,125","9,075","53.16M","0.00%"
"09/08/2023","9,125","9,100","9,150","9,050","80.73M","-0.54%"
"09/07/2023","9,175","9,125","9,175","9,100","61.41M","0.27%"
"09/06/2023","9,150","9,200","9,250","9,150","49.32M","-0.81%"
"09/05/2023","9,225","9,250","9,250","9,200","42.01M","0.00%"
"09/04/2023","9,225","9,225","9,275","9,175","40.61M","0.00%"
"09/01/2023","9,225","9,200","9,275","9,175","42.15M","0.54%"
"08/31/2023","9,175","9,200","9,225","9,100","136.11M","-0.27%"
"08/30/2023","9,200","9,300","9,300","9,200","56.23M","-0.54%"
"08/29/2023","9,250","9,275","9,300","9,200","45.43M","0.54%"
"08/28/2023","9,200","9,250","9,250","9,200","44.42M","-0.81%"
"08/25/2023","9,275","9,200","9,275","9,175","50.38M","0.82%"
"08/24/2023","9,200","9,250","9,325","9,200","53.73M","-1.08%"
"08/23/2023","9,300","9,300","9,325","9,275","63.75M","0.00%"
"08/22/2023","9,300","9,150","9,325","9,150","65.66M","1.36%"
"08/21/2023","9,175","9,225","9,250","9,175","73.57M","-0.81%"
"08/18/2023","9,250","9,250","9,350","9,250","79.33M","-0.54%"
"08/16/2023","9,300","9,275","9,325","9,250","76.44M","0.00%"
"08/15/2023","9,300","9,325","9,375","9,300","59.30M","-0.53%"
"08/14/2023","9,350","9,325","9,350","9,225","75.50M","-0.53%"
"08/11/2023","9,400","9,425","9,450","9,375","68.90M","0.00%"
"08/10/2023","9,400","9,400","9,425","9,350","78.07M","0.00%"
"08/09/2023","9,400","9,275","9,400","9,250","77.06M","2.17%"
"08/08/2023","9,200","9,275","9,300","9,200","61.29M","-0.81%"
"08/07/2023","9,275","9,150","9,275","9,150","55.59M","1.37%"
"08/04/2023","9,150","9,250","9,275","9,125","52.68M","-1.08%"
"08/03/2023","9,250","9,150","9,300","9,150","64.60M","0.54%"
"08/02/2023","9,200","9,125","9,200","9,125","60.63M","0.82%"
"08/01/2023","9,125","9,175","9,175","9,100","49.76M","0.00%"
"07/31/2023","9,125","9,175","9,200","9,100","80.87M","0.00%"
"07/28/2023","9,125","9,200","9,225","9,125","74.51M","-1.08%"
"07/27/2023","9,225","9,400","9,400","9,225","77.85M","-1.34%"
"07/26/2023","9,350","9,175","9,350","9,125","113.87M","2.19%"
"07/25/2023","9,150","9,175","9,300","9,150","122.80M","0.55%"
"07/24/2023","9,100","9,200","9,200","9,100","62.06M","-0.55%"
"07/21/2023","9,150","9,150","9,175","9,125","42.67M","0.00%"
"07/20/2023","9,150","9,200","9,225","9,125","83.48M","0.00%"
"07/18/2023","9,150","9,200","9,250","9,100","66.97M","-0.27%"
"07/17/2023","9,175","9,200","9,250","9,175","62.55M","-0.27%"
"07/14/2023","9,200","9,175","9,200","9,125","55.55M","0.82%"
"07/13/2023","9,125","9,200","9,225","9,125","65.23M","-0.54%"
"07/12/2023","9,175","9,075","9,175","9,050","61.57M","1.66%"
"07/11/2023","9,025","9,100","9,100","9,025","43.70M","-0.28%"
"07/10/2023","9,050","9,100","9,100","9,050","28.98M","0.28%"
"07/07/2023","9,025","9,025","9,100","9,025","37.64M","-0.55%"
"07/06/2023","9,075","9,050","9,100","9,025","52.53M","0.28%"
"07/05/2023","9,050","9,050","9,075","9,025","44.61M","0.00%"
"07/04/2023","9,050","9,150","9,150","9,050","35.05M","-0.28%"
"07/03/2023","9,075","9,025","9,075","9,025","108.88M","-0.82%"
"06/27/2023","9,150","9,050","9,150","9,050","36.23M","0.83%"
"06/26/2023","9,075","9,025","9,125","9,025","36.39M","0.28%"
"06/23/2023","9,050","9,025","9,150","9,025","47.81M","0.00%"
"06/22/2023","9,050","9,125","9,150","9,050","48.29M","-0.82%"
"06/21/2023","9,125","9,050","9,125","9,000","43.38M","0.83%"
"06/20/2023","9,050","9,025","9,050","8,950","54.99M","0.56%"
"06/19/2023","9,000","9,000","9,050","9,000","32.33M","-0.55%"
"06/16/2023","9,050","9,100","9,100","8,975","112.77M","0.00%"
"06/15/2023","9,050","9,100","9,100","9,050","59.07M","-0.28%"
"06/14/2023","9,075","9,100","9,125","9,050","72.22M","-0.82%"
"06/13/2023","9,150","9,175","9,175","9,100","45.55M","0.00%"
"06/12/2023","9,150","9,150","9,150","9,100","38.08M","0.55%"
"06/09/2023","9,100","9,175","9,175","9,100","44.65M","-0.27%"
"06/08/2023","9,125","9,075","9,125","9,075","53.19M","0.27%"
"06/07/2023","9,100","9,125","9,175","9,075","66.81M","-0.55%"
"06/06/2023","9,150","9,050","9,200","9,050","74.87M","-0.54%"
"06/05/2023","9,200","9,150","9,325","9,100","163.54M","1.66%"
"05/31/2023","9,050","9,300","9,325","9,050","421.02M","-2.16%"
"05/30/2023","9,250","9,200","9,325","9,150","111.13M","1.09%"
"05/29/2023","9,150","9,250","9,250","9,075","79.15M","0.00%"
"05/26/2023","9,150","9,175","9,200","9,100","55.68M","1.10%"
"05/25/2023","9,050","9,100","9,150","9,050","62.06M","0.28%"
"05/24/2023","9,025","9,200","9,200","9,025","64.85M","-1.10%"
"05/23/2023","9,125","9,050","9,150","9,025","87.74M","1.39%"
"05/22/2023","9,000","9,000","9,075","8,925","91.00M","0.00%"
"05/19/2023","9,000","8,900","9,000","8,825","105.99M","2.56%"
"05/17/2023","8,775","8,775","8,850","8,750","70.01M","0.86%"
"05/16/2023","8,700","8,800","8,825","8,700","57.84M","-0.85%"
"05/15/2023","8,775","8,875","8,875","8,725","50.79M","-0.28%"
"05/12/2023","8,800","8,750","8,875","8,725","79.77M","-0.28%"
"05/11/2023","8,825","8,900","8,900","8,800","82.00M","-1.12%"
"05/10/2023","8,925","8,925","8,950","8,900","45.50M","0.00%"
"05/09/2023","8,925","8,950","8,975","8,900","42.05M","-0.83%"
"05/08/2023","9,000","9,000","9,075","8,950","84.75M","0.00%"
"05/05/2023","9,000","9,000","9,050","8,950","55.56M","0.00%"
"05/04/2023","9,000","8,925","9,025","8,875","59.66M","0.84%"
"05/03/2023","8,925","9,050","9,050","8,875","69.75M","-1.38%"
"05/02/2023","9,050","9,100","9,100","8,900","105.73M","0.00%"
"04/28/2023","9,050","9,100","9,125","9,050","145.78M","-1.09%"
"04/27/2023","9,150","9,100","9,175","9,075","66.13M","-0.54%"
"04/26/2023","9,200","9,125","9,200","9,000","186.93M","0.82%"
"04/18/2023","9,125","9,050","9,175","9,025","91.24M","1.11%"
"04/17/2023","9,025","9,025","9,050","8,900","83.95M","0.28%"
"04/14/2023","9,000","9,000","9,000","8,950","90.71M","0.84%"
"04/13/2023","8,925","8,950","8,950","8,875","68.71M","0.28%"
"04/12/2023","8,900","8,900","8,900","8,825","76.27M","0.85%"
"04/11/2023","8,825","8,825","8,825","8,750","44.55M","0.28%"
"04/10/2023","8,800","8,725","8,800","8,700","24.92M","0.57%"
"04/06/2023","8,750","8,700","8,775","8,700","45.50M","0.29%"
"04/05/2023","8,725","8,775","8,800","8,725","37.59M","-0.57%"
"04/04/2023","8,775","8,825","8,825","8,650","49.12M","-0.28%"
"04/03/2023","8,800","8,825","8,825","8,750","52.54M","0.57%"
"03/31/2023","8,750","8,825","8,850","8,725","97.16M","-0.85%"
"03/30/2023","8,825","8,900","8,900","8,800","118.98M","0.28%"
"03/29/2023","8,800","8,675","8,800","8,625","79.93M","1.44%"
"03/28/2023","8,675","8,800","8,800","8,675","86.87M","-0.29%"
"03/27/2023","8,700","8,825","8,825","8,700","113.51M","-1.42%"
"03/24/2023","8,825","8,700","8,825","8,625","173.08M","3.82%"
"03/21/2023","8,500","8,400","8,500","8,375","73.12M","1.19%"
"03/20/2023","8,400","8,400","8,475","8,375","37.33M","0.30%"
"03/17/2023","8,375","8,375","8,450","8,325","141.35M","0.90%"
"03/16/2023","8,300","8,300","8,350","8,250","95.93M","-0.30%"
"03/15/2023","8,325","8,450","8,475","8,325","69.99M","0.00%"
"03/14/2023","8,325","8,425","8,475","8,325","91.63M","-2.63%"
"03/13/2023","8,550","8,450","8,625","8,450","82.08M","1.18%"
"03/10/2023","8,450","8,500","8,550","8,450","59.64M","-1.46%"
"03/09/2023","8,575","8,650","8,650","8,550","54.20M","0.00%"
"03/08/2023","8,575","8,400","8,575","8,400","62.40M","1.78%"
"03/07/2023","8,425","8,350","8,475","8,350","94.24M","0.30%"
"03/06/2023","8,400","8,550","8,550","8,400","93.72M","-0.88%"
